location	year	taxon_key
96	2010	24
96	2020	10
96	2020	24
105	2010	24
136	2020	27
158	2008	20
161	2002	12
161	2002	15
161	2002	27
175	1998	3
175	2002	15
175	2002	18
175	2009	20
175	2009	24
175	2009	27
175	2010	10
175	2010	15
175	2010	20
175	2011	24
175	2012	15
175	2016	20
175	2019	20
196	2014	26
196	2020	26
211	2019	24
245	2009	24
245	2010	27
321	2002	3
321	2002	15
321	2011	11
333	2000	10
333	2002	3
333	2002	11
333	2002	15
333	2002	18
333	2002	27
333	2010	20
333	2019	10
333	2020	10
333	2020	20
333	2020	26
334	2002	27
334	2010	15
334	2010	20
334	2011	20
334	2019	15
334	2020	20
380	1999	3
380	1999	10
380	1999	15
380	1999	18
380	1999	26
380	2000	10
380	2019	3
380	2019	20
381	2016	24
381	2016	26
402	2009	24
431	2011	5
431	2011	12
431	2011	15
431	2011	24
431	2012	10
431	2012	18
431	2012	34
431	2014	2
431	2015	8
431	2016	2
431	2016	3
431	2016	5
431	2016	10
431	2016	18
431	2016	21
431	2016	26
431	2017	3
431	2017	10
431	2017	12
431	2017	28
431	2018	3
431	2018	10
431	2018	20
431	2018	34
431	2019	8
431	2020	12
431	2020	15
431	2020	18
444	2004	15
470	2002	26
496	2017	2
498	2014	2
527	2020	2
531	2016	26
549	2015	26
591	1999	10
591	2020	24
635	2020	18
642	2019	20
646	2015	26
655	1999	10
655	2002	5
655	2002	10
655	2002	15
655	2008	16
655	2008	21
655	2011	5
655	2011	24
655	2013	21
663	2009	24
663	2018	26
680	2015	18
703	2002	18
703	2002	27
703	2006	26
703	2010	18
703	2011	26
703	2011	34
703	2013	26
703	2015	20
703	2015	26
703	2016	20
703	2018	20
703	2020	20
705	2007	20
705	2018	12
705	2019	20
705	2020	26
716	2012	20
716	2012	26
716	2013	20
716	2014	20
716	2015	20
716	2016	20
716	2018	20
716	2019	2
716	2019	3
716	2019	15
716	2019	20
716	2019	24
716	2019	26
716	2020	2
716	2020	3
716	2020	10
716	2020	12
716	2020	15
716	2020	20
716	2020	26
718	2010	26
718	2011	24
718	2011	27
718	2014	12
718	2017	26
718	2018	12
718	2019	26
722	2008	26
731	2002	3
731	2002	27
748	2011	10
748	2011	24
748	2011	26
752	1998	10
759	2018	10
768	2020	18
768	2020	20
772	2011	10
772	2011	15
772	2011	24
772	2011	26
772	2019	24
772	2020	24
790	2020	24
813	2011	20
813	2020	15
830	2007	20
830	2009	20
830	2011	20
830	2013	20
830	2014	20
830	2015	20
830	2018	21
830	2018	24
846	2005	24
846	2005	26
846	2009	3
846	2009	34
846	2011	27
846	2014	10
846	2016	10
846	2016	24
846	2019	24
846	2020	3
879	2010	27
879	2014	24
879	2015	26
879	2016	4
879	2018	18
879	2019	26
903	2012	27
912	2010	2
917	2016	26
949	2020	26
963	2019	10
963	2019	12
963	2019	15
963	2019	20
963	2019	24
963	2020	21
995	2010	24
995	2020	15
995	2020	18
997	2018	2
997	2018	3
997	2018	4
997	2018	10
997	2018	24
997	2018	26
997	2018	28
1001	2009	24
1001	2014	15
1011	2019	5
1012	2002	3
1012	2002	10
1012	2002	18
1013	2011	20
1019	2019	24
1030	2020	26
1033	2007	20
1033	2016	26
1050	2016	26
1055	1997	3
1055	1997	10
1055	1997	26
1055	1997	27
1067	2002	3
1067	2002	10
1067	2002	11
1067	2002	18
1067	2011	24
1067	2020	24
1076	2010	18
1085	2017	24
1108	2018	26
1191	2008	27
1191	2011	24
1191	2013	14
1191	2013	15
1191	2020	24
1191	2020	26
1207	2013	15
1209	2019	24
1262	2008	20
1262	2008	24
1262	2016	26
1273	2016	26
1299	2017	18
1332	2019	24
1370	2010	26
1371	2012	15
1371	2015	26
1371	2016	26
1371	2018	15
1371	2018	26
1371	2019	2
1371	2019	20
1371	2019	24
1381	2007	24
1381	2015	26
1381	2016	20
1381	2016	24
1381	2018	26
1381	2019	10
1381	2019	13
1381	2019	24
1381	2020	24
1381	2020	26
1416	2017	11
1416	2019	24
1416	2020	11
1416	2020	24
1421	2019	15
1421	2019	24
1431	2005	24
1431	2014	15
1431	2014	24
1438	2007	20
1438	2009	20
1438	2013	24
1438	2014	13
1438	2014	24
1438	2016	15
1438	2020	26
1475	2019	18
1480	2002	10
1480	2002	15
1480	2002	27
1483	2020	24
1500	2016	28
1500	2017	15
1500	2019	4
1505	2008	15
1505	2014	20
1505	2014	27
1511	2010	24
1511	2012	10
1511	2016	24
1511	2018	27
1511	2019	27
1526	2008	20
1526	2011	20
1526	2011	24
1526	2012	5
1526	2012	10
1526	2015	15
1526	2015	34
1526	2016	5
1526	2016	10
1526	2016	12
1526	2016	16
1526	2016	18
1526	2016	24
1526	2016	26
1526	2017	5
1526	2017	10
1526	2017	27
1526	2018	10
1526	2018	15
1526	2018	18
1526	2019	5
1526	2019	18
1526	2019	20
1526	2020	34
1549	2008	24
1626	2011	26
1626	2018	26
1626	2020	10
1626	2020	24
1629	2010	27
1632	2002	28
1632	2007	16
1632	2011	20
1632	2011	27
1632	2014	20
1632	2015	26
1632	2019	10
