country	location	long	lat
2	96	3.3505	51.3104
2	105	3.3656	51.2927
2	136	3.3648	51.3107
2	158	3.3632	51.3466
2	161	3.3628	51.3556
2	175	3.3624	51.3646
2	196	3.362	51.3736
2	211	3.3791	51.3109
2	245	3.3783	51.3289
2	321	3.378	51.3379
2	333	3.3776	51.3469
2	334	3.3768	51.3648
2	380	3.3764	51.3738
2	381	3.3958	51.2573
2	402	3.3939	51.3022
2	431	3.3935	51.3112
2	444	3.3907	51.3741
2	470	3.4101	51.2575
2	496	3.4078	51.3114
2	498	3.407	51.3294
2	527	3.4066	51.3384
2	531	3.4055	51.3653
2	549	3.4047	51.3833
2	591	3.4241	51.2667
2	635	3.4233	51.2847
2	642	3.419	51.3835
2	646	3.4361	51.3209
2	655	3.4346	51.3568
2	663	3.4342	51.3658
2	680	3.4338	51.3748
2	703	3.4334	51.3838
2	705	3.4276	51.5185
2	716	3.4272	51.5275
2	718	3.4268	51.5365
2	722	3.4527	51.2672
2	731	3.4512	51.3032
2	748	3.4504	51.3211
2	752	3.4497	51.3391
2	759	3.4485	51.366
2	768	3.4481	51.375
2	772	3.4478	51.384
2	790	3.4474	51.393
2	813	3.4424	51.5098
2	830	3.442	51.5188
2	846	3.4416	51.5278
2	879	3.4412	51.5368
2	903	3.4409	51.5457
2	912	3.4629	51.3663
2	917	3.4625	51.3753
2	949	3.4621	51.3843
2	963	3.4572	51.5011
2	995	3.4564	51.519
2	997	3.4553	51.546
2	1001	3.4814	51.2677
2	1011	3.4795	51.3126
2	1012	3.4791	51.3216
2	1013	3.472	51.4923
2	1019	3.4708	51.5193
2	1030	3.4697	51.5462
2	1033	3.4693	51.5552
2	1050	3.4953	51.2769
2	1055	3.4949	51.2859
2	1067	3.4935	51.3218
2	1076	3.4931	51.3308
2	1085	3.4908	51.3847
2	1108	3.4905	51.3937
2	1191	3.4863	51.4925
2	1207	3.4845	51.5375
2	1209	3.4837	51.5554
2	1262	3.4833	51.5644
2	1273	3.51	51.2682
2	1299	3.5059	51.367
2	1332	3.5056	51.376
